Jahr;WP;Coder;V1a;V1b1;V1b2;V1b3;V1c;V1d;V1e;V1g;V1h;V2;V3;V4;V12;V12b;V12c;Notes;V13;V5;V5a;V6a;V6b;V7;V8a;V8b;V8c;V8d;V9a;V9b;V9c;V9z;V10a;V10b;V10b1;V10b2;V10c;V11a;V11b;V11c;V14;Note.V14;V15;V16;V16a;V17;V17a;Anm.;V19;V20;V21;Anmerkung
2003;15;4;Der Paritätische Wohlfahrtsverband Gesamtverband e.V. / Paritätischer Gesamtverband;Reinschmidt, Heidi;NA;NA;1;NA;NA;www.der-paritaetische.de;NA;1;83;149;5;1;17;NA;1;20030507;Hilfsmittelsicherungsgesetz;8;2;1;2;NA;4;1;13;4;NA;"Dauerhafte Sicherung der Hilfsmittelversorgung von Pflegebedürftigen bei häuslicher und stationärer Pflege, Regelung der finanziellen Zuständigkeiten der Krankenkassen, der Pflegekassen und der Heimträger; Änderung der §§ 40, 75, 80a und 84 11. Buch Sozialgesetzbuch";2;15/308;15/1314;Entwurf eines Gesetzes zur Sicherung der Hilfsmittelversorgung von Pflegebedürftigen (Hilfsmittelsicherungsgesetz - HSG);4;NA;NA;NA;5;NA;15019036;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Verband der privaten Krankenversicherung e.V.;Besche, Andreas;NA;NA;1;NA;PKV;www.pkv.de/;NA;1;22;213;5;1;17;NA;1;20030507;Hilfsmittelsicherungsgesetz;8;2;1;2;NA;4;1;13;4;NA;"Dauerhafte Sicherung der Hilfsmittelversorgung von Pflegebedürftigen bei häuslicher und stationärer Pflege, Regelung der finanziellen Zuständigkeiten der Krankenkassen, der Pflegekassen und der Heimträger; Änderung der §§ 40, 75, 80a und 84 11. Buch Sozialgesetzbuch";2;15/308;15/1314;Entwurf eines Gesetzes zur Sicherung der Hilfsmittelversorgung von Pflegebedürftigen (Hilfsmittelsicherungsgesetz - HSG);4;NA;NA;NA;5;NA;15019036;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Turner, Jason;NA;NA;NA;1;NA;NA;NA;NA;2;NA;4614;5;1;24;NA;1;20031008;Entwurf eines 4. Gesetzes für moderne Dienstleistungen am Arbeitsmarkt (Hartz IV);21;15;1;2;NA;4;4;13;6;NA;"Zusammenführung von Arbeitslosenhilfe und Sozialhilfe zu einer Grundsicherung für Arbeitssuchende (Arbeitslosengeld II), Unterstützung der Hilfebedürftigen bei der Eingliederung in den Arbeitsmarkt, pauschalierte Leistungen für Bedarfsgemeinschaften, Finanzierung der Grundsicherung aus Steuermitteln des Bundes, Sicherstellung der gleichmäßigen Rechtsanwendung durch die Bundesagentur für Arbeit, Einführung eines dem Arbeitslosengeld II vorgelagerten einkommensabhängigen Kinderzuschlags, Ausschluss zusätzlichen Wohngeldbezugs durch Leistungsempfänger, Änderung der Einkommensermittlungs- und Verfahrensvorschriften; 2. Buch Sozialgesetzbuch - Grundsicherung für Arbeitssuchende - als Art. 1 der Vorlage, Änderung weiterer 55 Gesetze und Verordnungen, Aufhebung der Arbeitslosenhilfe-Verordnung; Neufassungsermächtigungen";2;15/1516;15/1728;Entwurf eines Vierten Gesetzes für moderne Dienstleistungen am Arbeitsmarkt;2;NA;NA;NA;4;NA;15019247;61;45;65;31;NA;NA;NA;;NA
2003;15;4;Bundesverband der Verbraucherzentralen und Verbraucherverbände / Verbraucherzentrale Bundesverband e.V.;Etgeton, Dr. Stefan;NA;NA;1;NA;VZBV;www.vzbv.de;NA;1;84;154;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Kassenzahnärztliche Bundesvereinigung;Fedderwitz, Dr. Jürgen;NA;NA;1;NA;KZBV;www.kzbv.de/;NA;1;41;551;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Bundesvereinigung Deutscher Apothekerverbände;Friese, Hans Günter;NA;NA;1;NA;ABDA;www.abda.de/;NA;1;22;729;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Bundesverband der Arzneimittel-Hersteller e.V.;Kortland, Dr. Hermann;NA;NA;1;NA;BAH;www.bah-bonn.de/;NA;1;22;796;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Bundesverband der Pharmazeutischen Industrie e.V.;Brauner. Thomas;NA;NA;1;NA;BPI;www.bpi.de/;NA;1;22;797;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Bundesverband des pharmazeutischen Großhandels e.V.;Meyer, Dr. Hilko;NA;NA;1;NA;PHAGRO;www.phagro.de/portal/alias__phagro/TabID__6127/Default.aspx;NA;1;22;799;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
2003;15;4;Deutsche Gesellschaft für Versicherte und Patienten e.V.;NA;NA;NA;2;NA;DGVP;www.dgvp.de;NA;1;85;1640;5;1;32;NA;1;20030521;Beitragssicherung;8;5;1;2;NA;4;2;4;13;NA;Aufhebung von Art. 11 des Beitragssatzsicherungsgesetzes (Gesetz zur Einführung von Abschlägen der pharmazeutischen Großhändler), rückwirkend ab 1.1.2003;1;15/542;15/1202;Entwurf eines Ersten Gesetzes zur Änderung des Gesetzes zur Sicherung der Beitragssätze in der gesetzlichen Krankenversicherung und in der gesetzlichen Rentenversicherung;3;NA;NA;NA;5;NA;15019108;NA;NA;NA;NA;NA;NA;NA;;NA
